id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52751882,3  1/2 avec vue  sur la ville de Québec,427060254,Frank,,Cité Universitaire,46.78386,-71.2936,Entire home/apt,165,3,0,,,1,45,0,
52754717,5★| Historical Getaway | Tiny Home  | Old Quebec ★,44701521,Paul,,Saint-Jean-Baptiste,46.81106,-71.21978,Entire home/apt,103,2,2,2021-12-30,0.52,7,365,2,306196
52780534,"Appartement impeccable, très propre, proche de tout",287791480,Alexe,,Vanier,46.81379,-71.27272,Entire home/apt,150,1,2,2022-02-06,0.42,1,361,2,
52804536,The simplistic- 1Month Stay -W/1bed/Free Parking,348456043,La Clé D'Or,,Saint-Jean-Baptiste,46.81148,-71.21966,Entire home/apt,45,29,0,,,4,30,0,
52805507,"Grand 4,5 rénové à neuf près de bus et autoroute!",28754730,Julie,,Vieux-Moulin,46.85055,-71.22724,Entire home/apt,47,31,1,2022-01-07,0.48,6,354,1,
52807538,Chambre privée dans joli condo près centre-ville,427517825,Alexandra,,Vieux-Limoilou,46.82581,-71.2335,Private room,84,1,6,2022-02-13,1.51,1,138,6,
52821101,Séjournez chez l'habitant avec lui comme coloc!,252242693,Jean-Philippe,,Saint-Sauveur,46.81113,-71.24003,Private room,70,1,0,,,2,161,0,123456789
52821685,cohabitation chez l'hôte appartement  4 1/2,252242693,Jean-Philippe,,Saint-Sauveur,46.81097,-71.23986,Private room,80,1,1,2021-10-24,0.22,2,251,1,
52823776,App.meublé avec espace bureau pour télé travail,48900842,Viviane,,Cap-Rouge,46.74745,-71.35671,Entire home/apt,70,10,0,,,1,19,0,
52835670,Appartement avec foyer et jardin privé,17953773,Daniela,,Lairet,46.82869,-71.242867,Entire home/apt,176,30,0,,,1,197,0,
52851104,Condo moderne au centre-ville de Québec,189033516,Amélie,,Saint-Sauveur,46.809998,-71.233932,Entire home/apt,86,1,11,2022-02-28,2.41,1,101,11,
52881946,Villa La Mystique,428141331,Joffrey,,Lairet,46.836185,-71.237373,Private room,50,1,6,2022-02-17,1.44,1,365,6,
52882101,Jumelé moderne 3 chambres,35018513,Genevieve,,Notre-Dame-des-Laurentides,46.91689,-71.31986,Entire home/apt,200,1,3,2022-02-13,1.36,1,74,3,307457
52969621,"Grosse Villa / Vue Sur Lac. Piscine, Spa, Sauna.",146958208,Nick,,Quartier 5-1,46.94917,-71.27267,Entire home/apt,1164,1,15,2022-03-08,4.33,1,323,15,
52980285,Loft cozy terrasse privée St-Roch/Air Climatisé,193766296,Simon,,Saint-Roch,46.81493,-71.2221,Entire home/apt,116,1,26,2022-02-22,6.09,9,230,26,
52980390,La Maison Coppen,379309101,Camille,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81293,-71.21292,Entire home/apt,785,2,5,2022-03-06,1.70,2,340,5,
52986743,The stop*3br*AC*limoilou*nearoldquebec*calm,413128049,Patrick,,Vieux-Limoilou,46.82365,-71.22334,Entire home/apt,96,2,7,2022-02-10,1.93,3,329,7,
52986840,Noovo St-Roch Loft - The Coastal North CITQ#307221,150241002,Jean-Christophe,,Saint-Sauveur,46.811485,-71.231522,Entire home/apt,90,1,1,2022-02-13,1,6,269,1,
52988887,Superbe condo dans le vieux Québec,391561537,Melissa,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81502,-71.20782,Entire home/apt,189,2,0,,,1,348,0,
53022012,"Condo 1 chambre 
Vieux-Québec",153487148,Francine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8165,-71.2049,Entire home/apt,67,30,0,,,1,365,0,
53024557,Appartement chaleureux proche de tout,95570660,Alice,,Vieux-Limoilou,46.82579,-71.22686,Entire home/apt,70,1,6,2021-12-02,1.38,1,41,6,
53028578,Le loft de la chapelle   #citq 61581,213071175,Keven,,Saint-Roch,46.81565,-71.22289,Entire home/apt,190,1,8,2022-03-06,2.73,1,355,8,
53043386,"Suite 2 , LA QUÉBEC",543076,Marie-Line,,Saint-Jean-Baptiste,46.80438,-71.22367,Private room,200,2,0,,,4,356,0,212155
53043985,"Chambre supérieur,  La Montcalm,",543076,Marie-Line,,Saint-Jean-Baptiste,46.80474,-71.22437,Private room,180,2,0,,,4,363,0,212155
53044376,la grande romantique avec bain auto portant,543076,Marie-Line,,Saint-Jean-Baptiste,46.8064,-71.22364,Private room,178,2,1,2022-02-13,1,4,364,1,212155
53044523,Noovo St-Roch Loft - Le Gaspésien CITQ #307221,150241002,Jean-Christophe,,Saint-Sauveur,46.811485,-71.23156,Entire home/apt,90,1,1,2022-02-13,1,6,269,1,
53044682,Noovo St-Roch Loft - Le Charlevoisien CITQ #307221,150241002,Jean-Christophe,,Saint-Sauveur,46.811489,-71.231651,Entire home/apt,90,1,1,2022-02-13,1,6,269,1,
